,strain,id,flavors,positive,medical,Type,Rating,Flavor
79,Banana Peel,106,"Sweet, Tree Fruit, Pear","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Fatigue, Headaches",hybrid,4.7,"Spicy/Herbal,Tropical,Earthy"
80,Bananas,107,"Tropical, Tree Fruit, Chemical","Relaxed, Hungry, Happy, Uplifted, Focused","Depression, Pain, Stress, Lack of Appetite, Nausea",hybrid,4.5,"Tropical,Grape,Vanilla"
81,Bandana,108,"Earthy, Pungent, Woody","Relaxed, Euphoric, Happy, Creative, Tingly","Depression, Pain, Stress, Fatigue, Headaches",hybrid,4.2,"Earthy,Pungent,Woody"
83,Barbara Bud,110,"Earthy, Spicy/Herbal, Woody","Relaxed, Hungry, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms",indica,3.6,"Citrus,Earthy,Mango"
84,Bay 11,113,"Earthy, Sweet, Citrus","Relaxed, Happy, Creative, Energetic, Uplifted","Depression, Pain, Stress, Inflammation, Spasticity",sativa,4.5,"Sweet,Earthy,Citrus"
85,Bay Dream,114,"Citrus, Earthy, Pungent","Relaxed, Hungry, Euphoric, Happy, Focused","Depression, Pain, Stress, Lack of Appetite, Headaches",sativa,4.3,"Citrus,Earthy,Sweet"
86,Bedford Glue,117,"Earthy, Flowery, Grape","Relaxed, Euphoric, Happy, Energetic, Giggly","Pain, Lack of Appetite, Inflammation, Seizures, Muscle Spasms",hybrid,5.0,"Pepper,Pine,Sage"
87,Bedica,118,"Chemical, Spicy/Herbal, Nutty","Relaxed, Hungry, Happy, Tingly, Sleepy","Insomnia, Pain, Lack of Appetite, Headache, Headaches, Inflammation",indica,4.3,"Pungent,Cheese,Woody"
88,Bediol,119,"Citrus, Pine, Lemon","Relaxed, Happy, Creative, Energetic, Uplifted","Pain, Stress, Nausea, Fatigue, Inflammation",sativa,4.7,"Mango,Citrus,Lemon"
89,Bell Ringer,120,"Citrus, Pungent, Sweet","Relaxed, Hungry, Sleepy","Depression, Insomnia, Pain, Lack of Appetite, Nausea",indica,5.0,"Sweet,Citrus,Pungent"
90,Belladonna,121,"Peach, Earthy, Butter","Euphoric, Happy, Uplifted, Sleepy, Giggly","Depression, Insomnia, Pain, Stress, Fatigue",hybrid,4.0,"Peach,Earthy,Butter"
91,Berkeley,122,"Sweet, Earthy, Pine","Happy, Creative, Energetic, Uplifted","Depression, Pain, Stress, Lack of Appetite, Nausea, Headache",sativa,4.3,"Citrus,Sweet,Pungent"
92,Berry Bomb,123,"Berry, Sweet, Earthy","Relaxed, Hungry, Euphoric, Happy, Creative","Depression, Insomnia, Stress, Lack of Appetite, Headache, Headaches",hybrid,4.2,"Berry,Blueberry,Flowery"
93,Berry Noir,124,"Berry, Earthy, Ammonia","Relaxed, Hungry, Euphoric, Sleepy, Focused","Insomnia, Stress, Nausea, Inflammation, Muscle Spasms",indica,4.4,"Berry,Earthy,Sweet"
94,Berry White,126,"Berry, Sweet, Blueberry","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Insomnia, Pain, Stress, Fatigue",indica,4.4,"Berry,Sweet,Blueberry"
95,Bertberry Cheesecake,128,"Blueberry, Cheese, Berry","Euphoric, Creative, Energetic, Uplifted, Focused","Depression, Insomnia, Stress, Cramps, Headaches",sativa,5.0,"Cheese,Berry,Tree,Fruit"
96,Bettie Page,129,"Cheese, Diesel, Pungent","Relaxed, Happy, Creative, Energetic, Uplifted","Depression, Insomnia, Pain, Stress, Fatigue",hybrid,4.2,"Earthy,Sweet,Blue,Cheese"
97,Bianca,241,"Earthy, Woody, Pine","Relaxed, Creative, Sleepy, Aroused","Insomnia, Pain, Stress, Lack of Appetite, Muscle Spasms",hybrid,4.2,"Earthy,Woody,Spicy/Herbal"
98,Biddy Early,242,"Sweet, Lemon, Pine","Euphoric, Creative, Energetic, Uplifted, Focused","Depression, Pain, Stress, Nausea, Fatigue",hybrid,4.2,"Sweet,Flowery,Diesel"
99,Big Band,243,"Sweet, Citrus, Earthy","Relaxed, Hungry, Euphoric, Happy, Giggly","Insomnia, Pain, Stress, Fatigue, Inflammation",hybrid,4.6,"Sweet,Spicy/Herbal,Sage"
100,Big Bang,244,"Flowery, Berry, Pungent","Relaxed, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Headaches",indica,4.1,"Sweet,Orange,Lemon"
101,Big Bud,245,"Earthy, Pungent, Woody","Relaxed, Hungry, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Headache, Inflammation",indica,3.9,"Earthy,Skunk,Flowery"
102,Big Holy Nina,247,"Earthy, Pungent, Woody","Euphoric, Happy, Talkative, Uplifted","Stress, Lack of Appetite, Nausea, Fatigue",hybrid,4.0,"Lime,Lemon,Earthy"
103,Big Kush,248,"Citrus, Lemon, Lime","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Insomnia, Pain, Stress, Cramps, Nausea",hybrid,4.7,"Citrus,Lemon,Skunk"
104,Big Mac,249,"Citrus, Earthy, Pungent","Relaxed, Creative, Aroused","Depression, Insomnia, Stress",indica,5.0,"Sweet,Berry,Blueberry"
105,Big Skunk Korean,250,"Flowery, Skunk","Hungry, Creative, Energetic, Talkative, Uplifted","Depression, Lack of Appetite, Nausea, Fatigue",hybrid,4.0,"Flowery,Skunk"
106,Big Smooth,252,"Blueberry, Earthy, Pine","Happy, Creative, Tingly, Giggly, Aroused","Depression, Insomnia, Lack of Appetite, Fatigue, Headaches",hybrid,5.0,"Blueberry,Spicy/Herbal,Nutty"
107,Big Sur Holy Bud,253,"Pine, Woody, Earthy","Relaxed, Happy, Creative, Uplifted, Focused","Depression, Stress, Nausea, Fatigue, Muscle Spasms",sativa,4.0,"Earthy,Menthol,Pine"
