,strain,id,flavors,positive,medical,Type,Rating,Flavor
352,Cinex,567,"Citrus, Earthy, Sweet","Euphoric, Happy, Energetic, Uplifted, Focused","Depression, Pain, Stress, Headache, Fatigue, Headaches",sativa,4.3,"Earthy,Citrus,Sweet"
353,Cirrus,568,"Diesel, Menthol, Pungent","Euphoric, Creative, Talkative, Giggly","Depression, Nausea, Fatigue, Headaches, Inflammation",sativa,5.0,"Diesel,Menthol,Grape"
354,Citrix,569,"Citrus, Grapefruit, Orange","Euphoric, Happy, Energetic, Uplifted, Aroused","Depression, Stress, Lack of Appetite, Nausea, Fatigue",hybrid,4.3,"Citrus,Lemon,Grapefruit"
355,Citrus Kush,570,"Citrus, Lemon, Sweet","Relaxed, Euphoric, Happy, Uplifted, Tingly","Pain, Stress, Lack of Appetite, Nausea, Headache, Fatigue",hybrid,4.2,"Citrus,Orange,Sweet"
356,Citrus Punch,571,"Citrus, Orange, Mango","Happy, Energetic, Focused","Depression, Fatigue",sativa,4.2,"Citrus,Orange,Tropical"
357,Citrus Sap,572,"Citrus, Orange, Pungent","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Pain, Stress, Headache, Headaches, Inflammation",hybrid,4.4,"Citrus,Orange,Pungent"
358,Citrus Sunshine Haze,573,"Citrus, Orange, Lemon","Happy, Creative, Energetic, Uplifted, Focused","Depression, Pain, Stress, Fatigue, Headaches",hybrid,4.8,"Citrus,Orange,Lemon"
359,Clementine,574,"Citrus, Orange, Sweet","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Lack of Appetite, Headache, Headaches",sativa,4.3,"Citrus,Orange,Sweet"
360,Clementine Kush,575,"Citrus, Earthy, Flowery","Relaxed, Euphoric, Happy, Tingly, Giggly","Depression, Insomnia, Stress, Lack of Appetite, Inflammation",hybrid,4.4,"Citrus,Orange,Flowery"
361,Clockwork Orange,576,"Citrus, Lemon, Orange","Relaxed, Hungry, Uplifted","Depression, Pain, Stress, Lack of Appetite",hybrid,5.0,"Spicy/Herbal,Sweet,Citrus"
362,Cloud 9,577,"Flowery, Pine, Rose","Relaxed, Happy, Energetic, Talkative, Giggly","Depression, Insomnia, Pain, Stress, Nausea, Headache",hybrid,4.3,"Tropical,Flowery,Rose"
363,Club 69,578,"Diesel, Earthy, Flowery","Relaxed, Sleepy","Pain, Stress",indica,5.0,"Diesel,Flowery,Earthy"
364,Cluster Bomb,579,Sweet,"Relaxed, Euphoric, Energetic, Focused","Stress, Headaches",hybrid,4.3,Sweet
365,Cold Creek Kush,580,"Earthy, Woody, Pine","Relaxed, Euphoric, Happy, Uplifted, Tingly","Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms",hybrid,4.3,"Earthy,Pine,Woody"
366,Colombian Gold,581,"Earthy, Pungent, Citrus","Euphoric, Happy, Energetic, Talkative, Uplifted","Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue",sativa,4.5,"Earthy,Pungent,Spicy/Herbal"
367,Colombian Mojito,582,"Citrus, Lime, Minty","Euphoric, Creative, Energetic, Aroused","Pain, Nausea, Headaches",sativa,5.0,"Minty,Sweet,Citrus"
368,Colorado Bubba,583,"Mango, Pineapple, Nutty","Relaxed, Happy, Uplifted, Sleepy","Depression, Pain, Stress, Lack of Appetite, Muscle Spasms",indica,4.6,"Pineapple,Mango,Pine"
369,Colorado Chem,584,"Skunk, Sweet, Citrus","Relaxed, Euphoric, Happy, Energetic, Giggly","Depression, Insomnia, Pain, Stress, Headaches",hybrid,4.4,"Earthy,Sweet,Skunk"
370,Colorado Clementines,585,"Citrus, Lemon, Orange","Relaxed, Hungry, Euphoric, Creative, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite",indica,4.5,"Citrus,Earthy,Orange"
371,Commerce City Kush,586,"Diesel, Earthy, Pungent","Relaxed, Hungry, Euphoric, Happy, Creative","Insomnia, Pain, Stress, Lack of Appetite, Headaches",indica,4.3,"Diesel,Sweet,Flowery"
372,Concord Grape Blockhead,587,"Grape, Sweet","Euphoric, Creative, Giggly","Depression, Insomnia, Cramps, Lack of Appetite, Muscle Spasms",hybrid,4.3,"Sweet,Grape"
373,Confidential Cheese,588,"Cheese, Pine, Nutty","Relaxed, Hungry, Happy, Creative, Sleepy","Depression, Insomnia, Pain, Stress, Headaches",indica,4.5,"Cheese,Pine,Woody"
374,Connie Chung,590,"Earthy, Pine, Sweet","Relaxed, Euphoric, Happy, Sleepy, Focused","Depression, Insomnia, Pain, Stress, Lack of Appetite",hybrid,4.2,"Sweet,Earthy,Pine"
375,Conspiracy Kush,591,"Sweet, Earthy, Pungent","Relaxed, Euphoric, Happy, Creative","Insomnia, Pain, Stress, Headaches, Inflammation",indica,4.6,"Spicy/Herbal,Berry,Earthy"
376,Cookie Breath,592,"Earthy, Sweet, Minty","Relaxed, Euphoric, Happy, Uplifted, Giggly","Depression, Pain, Stress, Fatigue, Inflammation",hybrid,5.0,"Sweet,Pungent,Earthy"
377,Cookie Dough,593,"Earthy, Sweet, Pungent","Relaxed, Happy, Uplifted, Focused","Depression, Pain, Stress, Lack of Appetite, Headaches",hybrid,4.5,"Sweet,Earthy,Vanilla"
378,Cookie Jar,594,"Pungent, Earthy, Flowery","Relaxed, Hungry, Euphoric, Uplifted, Sleepy","Depression, Pain, Stress, Lack of Appetite, Headaches",hybrid,4.6,"Pungent,Sweet,Flowery"
379,Cookie Monster,595,"Flowery, Sweet, Earthy","Relaxed, Euphoric, Happy, Creative, Sleepy","Insomnia, Pain, Stress, Headache, Eye Pressure, Spasticity",indica,4.5,"Sweet,Earthy,Flowery"
380,Cookie Wreck,596,"Sweet, Earthy, Woody","Relaxed, Euphoric, Happy, Creative, Focused","Depression, Pain, Stress, Nausea, Headache, Muscle Spasms",hybrid,4.6,"Sweet,Earthy,Pungent"
381,Cookies Kush,597,"Sweet, Pungent, Earthy","Relaxed, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",indica,4.5,"Sweet,Earthy,Pungent"
382,Copper Kush,600,"Earthy, Pine, Pungent","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Pain, Stress, Cramps, Headaches",indica,3.9,"Earthy,Pungent,Woody"
383,Corleone Kush,601,"Skunk, Earthy, Spicy/Herbal","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Pain, Stress, Headache, Spasticity, Muscle Spasms",indica,4.6,"Earthy,Spicy/Herbal,Flowery"
384,Cornbread,602,"Lemon, Citrus, Earthy","Relaxed, Hungry, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite",indica,4.6,"Lemon,Citrus,Woody"
386,Cotton Candy Kush,604,"Sweet, Flowery, Berry","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Lack of Appetite, Fatigue",hybrid,4.3,"Sweet,Berry,Flowery"
387,Cotton Purple Chem,605,"Sweet, Earthy, Berry","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Stress, Fatigue, Headaches, Muscle Spasms",hybrid,4.4,"Sweet,Earthy,Berry"
388,Cracker Jack,606,"Sweet, Earthy, Woody","Creative, Energetic, Uplifted, Focused","Depression, Pain, Stress, Fatigue, Headaches",sativa,4.2,"Sweet,Woody,Citrus"
389,Crater Lake,607,"Citrus, Pine, Pungent","Relaxed, Euphoric, Happy, Talkative, Uplifted","Depression, Pain, Stress, Fatigue, Eye Pressure",hybrid,4.6,"Citrus,Pine,Pungent"
390,Crazy Miss Hyde,608,"Sweet, Vanilla, Butter","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Nausea, Eye Pressure, Inflammation",hybrid,4.9,"Sweet,Vanilla,Butter"
391,Cream Caramel,609,"Sweet, Earthy, Honey","Relaxed, Euphoric, Happy, Sleepy, Focused","Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms",indica,4.2,"Butter,Sweet,Honey"
392,Crimea Blue,610,"Blueberry, Pine, Pungent","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Eye Pressure",hybrid,4.3,"Berry,Tea,Blueberry"
393,Critical 47,611,"Honey, Skunk, Pungent","Relaxed, Happy, Creative, Sleepy, Giggly","Depression, Insomnia, Stress, Cramps, Inflammation",hybrid,4.3,"Honey,Skunk,Sweet"
394,Critical Bilbo,612,"Tobacco, Cheese, Pepper","Relaxed, Euphoric, Happy, Talkative","Depression, Insomnia, Stress, Inflammation, Spasticity",hybrid,4.4,"Tobacco,Sweet,Earthy"
395,Critical Cheese,613,"Cheese, Pungent, Earthy","Hungry, Euphoric, Creative, Uplifted, Focused","Depression, Pain, Stress, Fatigue, Headaches",hybrid,4.2,"Cheese,Earthy,Pungent"
396,Critical Haze,614,"Citrus, Spicy/Herbal, Earthy","Relaxed, Happy, Uplifted, Aroused","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",hybrid,4.3,"Citrus,Earthy,Pine"
397,Critical Hog,615,"Earthy, Pungent, Flowery","Relaxed, Hungry, Happy, Uplifted","Depression, Insomnia, Pain, Stress, Lack of Appetite",indica,4.2,"Earthy,Woody,Flowery"
398,Critical Jack,616,"Citrus, Lemon, Pine","Relaxed, Euphoric, Happy, Creative, Focused","Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue",hybrid,4.4,"Pine,Citrus,Woody"
399,Critical Kali Mist,617,"Pine, Sweet, Earthy","Euphoric, Happy, Creative, Uplifted, Focused","Depression, Stress, Fatigue, Inflammation, Muscle Spasms",sativa,4.6,"Pine,Sweet,Earthy"
400,Critical Kush,618,"Earthy, Pungent, Woody","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite",indica,4.5,"Earthy,Pungent,Sweet"
401,Critical Mass,619,"Earthy, Sweet, Pungent","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Inflammation",indica,4.3,"Earthy,Pungent,Sweet"
402,Critical Plus,620,"Pungent, Woody, Pine","Relaxed, Euphoric, Happy, Creative, Focused","Depression, Insomnia, Stress, Nausea, Headache, Headaches",hybrid,4.2,"Woody,Spicy/Herbal,Pungent"
403,Critical Sensi Star,622,"Sweet, Tree Fruit, Citrus","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Pain, Stress, Cramps, Muscle Spasms",indica,4.2,"Citrus,Sweet,Lemon"
404,Critical Widow,624,"Citrus, Sweet, Pungent","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Pain, Stress, Cramps, Inflammation",hybrid,4.3,"Citrus,Pungent,Sweet"
405,Critters Cookies,625,"Earthy, Lemon, Pungent","Relaxed, Happy, Uplifted, Giggly","Depression, Pain, Stress",hybrid,3.5,"Lemon,Earthy,Pungent"
406,Crosswalker,627,"Blueberry, Pine, Earthy","Relaxed, Euphoric, Happy, Uplifted","Depression, Pain, Nausea, Eye Pressure, Inflammation",indica,4.4,"Sweet,Blueberry,Pine"
407,Crouching Tiger Hidden Alien,628,"Pine, Earthy, Spicy/Herbal","Relaxed, Euphoric, Happy, Creative, Sleepy","Pain, Stress, Nausea, Inflammation, Muscle Spasms",indica,4.8,"Pine,Spicy/Herbal,Earthy"
408,Crown Royale,630,"Sweet, Pungent, Flowery","Relaxed, Euphoric, Happy, Focused, Aroused","Insomnia, Pain, Stress, Lack of Appetite, Muscle Spasms",indica,4.7,"Sweet,Flowery,Berry"
409,Crunch Berry Kush,631,"Berry, Sweet, Lemon","Relaxed, Euphoric, Happy, Focused","Depression, Insomnia, Stress, Lack of Appetite, Nausea",hybrid,4.4,"Sweet,Berry,Honey"
410,Crypt,632,"Sweet, Cheese, Lemon","Relaxed, Euphoric, Happy, Focused, Giggly","Depression, Pain, Stress, Fatigue, Headaches",hybrid,4.4,"Sweet,Cheese,Pungent"
411,Crystal Coma,633,"Earthy, Citrus, Sweet","Euphoric, Happy, Creative, Uplifted, Focused","Depression, Pain, Stress, Lack of Appetite, Headaches",sativa,4.6,"Flowery,Earthy,Citrus"
412,Crystal Gayle,634,"Earthy, Diesel, Skunk","Hungry, Euphoric, Happy, Creative, Focused",Muscle Spasms,hybrid,4.4,"Diesel,Earthy,Skunk"
413,Crystalberry,635,"Sweet, Berry, Blueberry","Relaxed, Hungry, Sleepy, Giggly, Aroused","Insomnia, Pain, Stress, Nausea, Headaches",indica,4.5,"Berry,Blueberry,Grape"
414,Cuvee,636,"Citrus, Flowery, Sweet","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Cramps, Headaches",indica,4.5,"Earthy,Grape,Berry"
415,Dairy Queen,640,"Cheese, Sweet, Berry","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Nausea, Headache, Fatigue",hybrid,4.4,"Cheese,Sweet,Earthy"
416,Damn Sour,642,"Earthy, Sweet, Citrus","Hungry, Euphoric, Happy, Creative, Energetic","Depression, Pain, Cramps, Nausea, Headaches",sativa,4.0,"Sweet,Earthy,Ammonia"
417,Damnesia,643,"Pepper, Spicy/Herbal, Earthy","Relaxed, Happy, Energetic, Talkative, Uplifted","Depression, Pain, Stress, Lack of Appetite, Fatigue",hybrid,4.2,"Spicy/Herbal,Pepper,Earthy"
418,Dance World,644,"Flowery, Pungent, Citrus","Relaxed, Happy, Energetic, Talkative, Uplifted","Depression, Pain, Stress, Lack of Appetite, Inflammation",sativa,4.6,"Earthy,Citrus,Spicy/Herbal"
419,Dancehall,645,"Earthy, Sweet, Spicy/Herbal","Relaxed, Happy, Creative, Uplifted, Focused","Depression, Pain, Stress, Cramps, Inflammation",hybrid,4.6,"Earthy,Citrus,Flowery"
420,Dank Schrader,646,"Tropical, Pine, Earthy","Relaxed, Hungry, Euphoric, Happy, Uplifted","Depression, Insomnia, Pain, Stress, Headache, Inflammation",indica,4.9,"Tropical,Pine,Earthy"
421,Dank Sinatra,647,"Berry, Blue Cheese, Diesel","Relaxed, Euphoric, Happy, Sleepy, Focused","Depression, Fatigue",hybrid,5.0,"Diesel,Berry,Tropical"
422,Dark Blue Dream,649,"Sweet, Berry, Earthy","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Stress, Lack of Appetite, Fatigue, Headaches",hybrid,4.6,"Sweet,Berry,Blueberry"
423,Dark Star,651,"Earthy, Woody, Pine","Relaxed, Hungry, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Headache, Headaches",indica,4.4,"Earthy,Pungent,Skunk"
424,Day Tripper,656,"Butter, Citrus, Earthy","Relaxed, Euphoric, Happy, Energetic, Uplifted","Insomnia, Pain, Nausea, Fatigue, Muscle Spasms",hybrid,4.0,"Blueberry,Strawberry,Pineapple"
425,Deadwood,658,"Berry, Earthy, Lavender","Relaxed, Creative, Sleepy, Focused","Pain, Stress, Muscle Spasms",indica,3.9,"Berry,Lavender,Earthy"
426,Death Bubba,659,"Pungent, Earthy, Sweet","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",indica,4.7,"Earthy,Pungent,Sweet"
427,Death Star,660,"Earthy, Diesel, Pungent","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Muscle Spasms",indica,4.6,"Earthy,Diesel,Pungent"
428,Deep Cheese,662,"Cheese, Pungent, Skunk","Relaxed, Happy, Uplifted, Sleepy, Focused","Cramps, Lack of Appetite, Nausea, Fatigue",hybrid,4.3,"Cheese,Pungent,Skunk"
429,Deep Chunk,663,"Earthy, Plum, Ammonia","Relaxed, Euphoric, Happy, Creative, Sleepy","Insomnia, Pain, Stress, Fatigue, Eye Pressure",indica,4.3,"Plum,Earthy,Ammonia"
430,Deep Purple,664,"Grape, Earthy, Ammonia","Relaxed, Euphoric, Happy, Tingly, Sleepy","Depression, Insomnia, Pain, Stress, Headache, Inflammation",indica,3.9,"Grape,Earthy,Sweet"
431,Deep Sleep,665,"Sweet, Pungent, Diesel","Relaxed, Euphoric, Happy, Tingly, Sleepy","Insomnia, Pain, Stress, Lack of Appetite, Headache, Muscle Spasms",indica,4.5,"Pungent,Earthy,Sweet"
432,Denver Maple,667,"Sweet, Earthy, Pine","Relaxed, Happy, Uplifted, Sleepy, Giggly","Depression, Stress, Cramps, Headaches, Eye Pressure",indica,4.4,"Sweet,Earthy,Pine"
433,Desert Star,668,Earthy,"Hungry, Creative, Tingly, Sleepy","Depression, Pain, Stress, Nausea, Spasticity",hybrid,4.8,Earthy
434,Destroyer,669,"Lavender, Flowery, Sweet","Euphoric, Happy, Energetic, Uplifted, Giggly","Depression, Insomnia, Stress, Cramps, Fatigue",sativa,4.9,"Lavender,Ammonia,Sweet"
435,Devil Fruit,670,"Pepper, Woody, Spicy/Herbal","Relaxed, Euphoric, Happy, Focused","Depression, Insomnia, Pain, Stress, Spasticity",indica,4.4,"Spicy/Herbal,Pepper,Sweet"
436,Diablo,672,"Earthy, Spicy/Herbal, Pungent","Relaxed, Euphoric, Happy, Tingly, Sleepy","Depression, Insomnia, Pain, Stress, Nausea, Headache",indica,4.1,"Sweet,Earthy,Spicy/Herbal"
437,Diamond Valley Kush,675,"Earthy, Spicy/Herbal, Pungent","Relaxed, Happy, Creative, Energetic, Focused","Depression, Stress, Cramps, Fatigue, Eye Pressure",hybrid,5.0,"Earthy,Spicy/Herbal,Pungent"
438,Diesel Duff,676,"Flowery, Honey, Skunk","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Pain, Stress, Headache, Headaches, Muscle Spasms",hybrid,3.8,"Sweet,Flowery,Honey"
439,Dieseltonic,677,"Diesel, Earthy, Woody","Relaxed, Sleepy, Focused, Giggly","Depression, Pain, Stress, Headaches, Inflammation",hybrid,4.1,"Diesel,Earthy,Woody"
440,Digweed,678,"Earthy, Skunk, Pungent","Relaxed, Happy, Creative, Uplifted, Sleepy","Depression, Pain, Stress, Cramps, Inflammation",indica,3.9,"Earthy,Skunk,Spicy/Herbal"
441,Dinachem,679,"Diesel, Pungent, Tropical","Relaxed, Euphoric, Energetic, Talkative, Uplifted","Depression, Stress",hybrid,4.7,"Tropical,Pungent,Earthy"
442,Dirty Girl,680,"Sweet, Flowery, Pine","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Pain, Stress, Fatigue, Eye Pressure",sativa,4.5,"Citrus,Sweet,Lemon"
443,Dirty Widow,682,"Sweet, Earthy, Pungent","Hungry, Euphoric, Energetic, Uplifted","Depression, Stress, Lack of Appetite, Fatigue",hybrid,4.2,"Sweet,Earthy,Pungent"
444,Disney Blue,683,"Blueberry, Pungent, Berry","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Stress, Fatigue, Headaches, Inflammation",hybrid,4.5,"Sweet,Lime,Apple"
445,Django,685,"Earthy, Sweet, Pungent","Euphoric, Happy, Energetic, Talkative, Uplifted","Depression, Insomnia, Stress, Fatigue, Muscle Spasms",sativa,4.6,"Sweet,Flowery,Earthy"
446,Doctor Doctor,688,"Citrus, Flowery, Strawberry","Relaxed, Happy, Uplifted, Focused, Aroused","Pain, Nausea, Headaches, Inflammation, Muscle Spasms",sativa,5.0,"Sweet,Strawberry,Citrus"
447,Dog Shit,689,"Earthy, Pungent, Berry","Relaxed, Euphoric, Creative, Energetic","Depression, Pain, Stress, Headache, Headaches, Muscle Spasms",hybrid,4.3,"Pungent,Earthy,Berry"
448,Don Shula,693,"Citrus, Pungent, Tropical","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Stress, Fatigue, Headaches",hybrid,5.0,"Citrus,Tropical,Diesel"
449,Donegal,694,"Earthy, Woody, Pungent","Relaxed, Euphoric, Energetic, Talkative","Depression, Insomnia, Stress, Fatigue",hybrid,3.8,"Earthy,Woody,Pungent"
450,Doobiebird Daydream,696,"Blueberry, Earthy, Pine","Relaxed, Euphoric, Creative, Uplifted","Headaches, Eye Pressure",hybrid,4.6,"Blueberry,Earthy,Sweet"
451,Doox,697,"Citrus, Lemon, Lime","Euphoric, Happy, Energetic, Uplifted, Focused","Depression, Pain, Stress, Inflammation, Muscle Spasms",sativa,4.4,"Sweet,Citrus,Lime"
452,Dopium,698,"Pine, Pungent, Earthy","Relaxed, Euphoric, Happy, Uplifted","Depression, Pain, Stress, Nausea, Headache, Headaches",hybrid,4.5,"Earthy,Pine,Pungent"
453,Dorit,699,"Cheese, Earthy, Minty","Relaxed, Euphoric, Uplifted, Focused, Giggly","Pain, Stress, Inflammation",indica,4.4,"Ammonia,Spicy/Herbal,Minty"
454,Double Diesel,701,"Diesel, Lime, Citrus","Relaxed, Happy, Creative, Energetic, Focused","Depression, Insomnia, Stress, Lack of Appetite, Headache, Headaches",sativa,4.2,"Diesel,Lime,Citrus"
455,Double Dream,702,"Berry, Sweet, Flowery","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Insomnia, Pain, Stress, Inflammation",hybrid,4.5,"Sweet,Earthy,Berry"
456,Double Dutch,703,"Tar, Earthy, Sweet","Hungry, Euphoric, Happy, Uplifted","Depression, Stress, Lack of Appetite, Nausea, Inflammation",hybrid,4.3,"Tar,Earthy,Sweet"
457,Double Purple Doja,706,"Earthy, Grape, Pungent","Relaxed, Creative, Sleepy","Pain, Stress, Headaches, Inflammation, Muscle Spasms",indica,4.7,"Earthy,Grape,Pungent"
458,Double Tangie Banana,707,"Citrus, Orange, Sweet","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Lack of Appetite, Headaches",hybrid,4.4,"Citrus,Sweet,Orange"
459,Dreadlock,716,"Earthy, Diesel, Pine","Relaxed, Happy, Creative, Energetic, Focused","Depression, Pain, Stress",hybrid,4.0,"Earthy,Diesel,Sage"
460,Dream Beaver,717,"Pineapple, Woody, Earthy","Creative, Energetic, Talkative, Uplifted","Pain, Fatigue, Spasticity, Seizures, Muscle Spasms",sativa,4.7,"Pineapple,Woody,Spicy/Herbal"
461,Dream Berry,718,"Berry, Sweet, Grapefruit","Relaxed, Hungry, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Nausea",indica,4.5,"Berry,Citrus,Diesel"
462,Dream Lotus,719,"Spicy/Herbal, Woody, Apple","Relaxed, Euphoric, Happy, Uplifted","Depression, Pain, Stress, Lack of Appetite, Headaches",hybrid,4.3,"Spicy/Herbal,Woody,Tea"
463,Dream Police,720,"Earthy, Berry","Relaxed, Happy, Energetic, Uplifted, Aroused","Depression, Insomnia, Pain, Stress, Inflammation",hybrid,3.7,"Pepper,Blueberry,Citrus"
464,Dream Queen,721,"Sweet, Flowery, Earthy","Relaxed, Euphoric, Happy, Uplifted, Aroused","Depression, Insomnia, Pain, Stress, Headaches",hybrid,4.3,"Citrus,Sweet,Earthy"
465,Dream Star,722,"Earthy, Pungent, Sage","Euphoric, Happy, Creative, Talkative, Uplifted","Insomnia, Pain, Stress, Lack of Appetite, Nausea",hybrid,4.8,"Earthy,Woody,Sweet"
466,Drizella,724,"Earthy, Pungent, Sweet","Euphoric, Happy, Energetic, Uplifted, Giggly","Depression, Stress, Cramps, Fatigue, Headaches",sativa,4.8,"Sweet,Earthy,Pungent"
467,Duke Nukem,725,"Sweet, Pungent, Flowery","Happy, Creative, Energetic, Uplifted, Focused","Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue",hybrid,4.4,"Sweet,Pungent,Earthy"
468,Durban Berry,726,"Berry, Blueberry, Pine","Relaxed, Happy, Creative, Energetic, Focused","Depression, Stress, Lack of Appetite, Headaches, Eye Pressure",hybrid,4.6,"Pine,Citrus,Lemon"
469,Durban Cheese,727,"Cheese, Blue Cheese, Earthy","Relaxed, Hungry, Euphoric, Uplifted, Giggly","Pain, Stress, Cramps, Nausea, Headache, Fatigue",hybrid,4.2,"Blue,Cheese,Cheese,Earthy"
470,Durban Cookies,728,"Sweet, Earthy, Minty","Relaxed, Happy, Energetic, Uplifted, Focused","Depression, Pain, Stress, Headaches, Inflammation",sativa,4.5,"Sweet,Earthy,Woody"
471,Durban Poison,729,"Earthy, Sweet, Pine","Euphoric, Happy, Energetic, Uplifted, Focused","Depression, Pain, Stress, Headache, Fatigue, Headaches",sativa,4.4,"Earthy,Sweet,Pine"
472,Durga Mata,730,"Earthy, Minty, Pungent","Relaxed, Happy, Talkative, Sleepy, Giggly","Stress, Lack of Appetite, Nausea, Headaches, Inflammation",indica,4.9,"Minty,Earthy,Citrus"
473,Dutch Crunch,731,"Citrus, Pine","Relaxed, Hungry, Tingly, Focused, Aroused","Depression, Stress, Lack of Appetite",hybrid,4.2,"Spicy/Herbal,Pepper,Citrus"
474,Dutch Dragon,732,"Citrus, Sweet, Flowery","Euphoric, Happy, Energetic, Uplifted, Giggly","Depression, Pain, Stress, Lack of Appetite, Headache, Muscle Spasms",sativa,4.5,"Citrus,Sweet,Mint"
475,Dutch Hawaiian,733,"Citrus, Sweet, Tropical","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Stress, Lack of Appetite, Nausea, Headache, Fatigue",sativa,4.3,"Citrus,Sweet,Tropical"
477,Dutch Kush,735,"Skunk, Spicy/Herbal, Tropical","Relaxed, Hungry, Euphoric, Sleepy, Giggly","Depression, Insomnia, Stress, Lack of Appetite",indica,3.9,"Coffee,Berry,Flowery"
478,Dutch Queen,736,"Sweet, Pine, Woody","Relaxed, Euphoric, Happy, Energetic","Depression, Stress, Headache, Fatigue, Headaches, Eye Pressure",hybrid,4.4,"Sweet,Earthy,Pungent"
479,Dutch Thunder Fuck,737,"Earthy, Citrus, Lemon","Euphoric, Happy, Creative, Talkative, Uplifted","Depression, Pain, Stress, Fatigue, Headaches",hybrid,4.9,"Earthy,Citrus,Lemon"
480,Dutch Treat,738,"Earthy, Sweet, Pine","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue",hybrid,4.3,"Sweet,Pine,Earthy"
481,Dutch Treat Haze,739,"Sweet, Earthy, Citrus","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Fatigue, Inflammation",hybrid,4.5,"Earthy,Citrus,Berry"
482,Dutchberry,740,"Berry, Sweet, Earthy","Relaxed, Euphoric, Happy, Uplifted, Giggly","Depression, Pain, Stress, Lack of Appetite, Headaches",hybrid,4.5,"Berry,Sweet,Orange"
483,Dynamite,741,"Citrus, Grapefruit, Earthy","Relaxed, Hungry, Euphoric, Happy, Uplifted","Depression, Pain, Stress, Cramps, Headache, Inflammation",indica,4.4,"Citrus,Grapefruit,Earthy"
484,Early Girl,742,"Earthy, Sweet, Pine","Relaxed, Happy, Creative, Talkative, Uplifted","Depression, Pain, Stress, Inflammation, Muscle Spasms",indica,3.8,"Citrus,Earthy,Pine"
485,Early Miss,743,"Pepper, Ammonia, Chemical","Relaxed, Euphoric, Creative, Aroused","Depression, Lack of Appetite",hybrid,3.9,"Pepper,Ammonia,Spicy/Herbal"
486,Early Pearl,744,"Sweet, Ammonia","Relaxed, Hungry, Happy, Talkative","Nausea, Eye Pressure",sativa,3.9,"Sweet,Earthy,Tea"
487,Early Skunk,745,"Skunk, Flowery, Pungent","Relaxed, Euphoric, Happy, Energetic, Focused","Depression, Insomnia, Pain, Stress, Eye Pressure",hybrid,4.1,"Flowery,Skunk,Earthy"
488,Earthquake,747,"Earthy, Skunk, Woody","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Pain, Stress, Fatigue, Eye Pressure",hybrid,4.5,"Woody,Pine,Earthy"
489,East Coast Alien,749,"Diesel, Chemical, Earthy","Euphoric, Creative, Energetic, Uplifted, Focused","Depression, Insomnia, Stress, Lack of Appetite, Fatigue",sativa,4.4,"Diesel,Earthy,Spicy/Herbal"
